entry_idx,entry_time,entry_price,stop_loss,div_low,div_type,entry_rsi,sl_pct,exit_idx,exit_time,exit_price,exit_reason,bars_held,pnl_pct,win,year
174,2019-01-30 00:00:00+00:00,3422.3922039999998,3346.57008,3349.92,regular,39.09952623618595,2.215471502984987,232,2019-02-08 16:00:00+00:00,3666.09902,take_profit,58,7.120949367379997,True,2019
931,2019-06-05 16:00:00+00:00,7787.71983,7473.53898,7481.02,hidden,37.28347563842015,4.034311157287739,937,2019-06-06 16:00:00+00:00,7469.054856612,stop_loss,6,-4.091890570593374,False,2019
1148,2019-07-11 20:00:00+00:00,11349.695733999999,9717.273,9727.0,hidden,38.59607145044708,14.382964726620747,1177,2019-07-16 16:00:00+00:00,9688.913161999999,stop_loss,29,-14.632837839210397,False,2019
2475,2020-02-18 04:00:00+00:00,9796.454348,9443.21733,9452.67,hidden,43.85178200312503,3.6057639371546206,2484,2020-02-19 20:00:00+00:00,9437.551399602,stop_loss,9,-3.6636004787923233,False,2020
3598,2020-08-23 12:00:00+00:00,11660.24195,11365.43319,11376.81,hidden,47.553856108840606,2.5283245516187587,3610,2020-08-25 12:00:00+00:00,11358.613930086,stop_loss,12,-2.5868075568877895,False,2020
4497,2021-01-20 08:00:00+00:00,34446.825701999995,30389.58,30420.0,hidden,39.104601942049804,11.778286153561105,4506,2021-01-21 20:00:00+00:00,30371.346252,stop_loss,9,-11.831219181868974,False,2021
4716,2021-02-25 20:00:00+00:00,47101.974238,45205.749,45251.0,hidden,37.46528831146116,4.0257871749040195,4718,2021-02-26 04:00:00+00:00,44946.695792,stop_loss,2,-4.57577093289056,False,2021
5182,2021-05-14 12:00:00+00:00,51242.707188,46953.0,47000.0,hidden,42.15237867581364,8.371351599871293,5189,2021-05-15 16:00:00+00:00,46924.828199999996,stop_loss,7,-8.426328788911377,False,2021
5392,2021-06-18 12:00:00+00:00,36376.91306,30969.0,31000.0,regular,33.75960211509185,14.866333080765262,5416,2021-06-22 12:00:00+00:00,30950.418599999997,stop_loss,24,-14.917413280916811,False,2021
5588,2021-07-21 04:00:00+00:00,30836.330703999996,29248.722,29278.0,regular,49.311279551121245,5.1485007060001955,5606,2021-07-24 04:00:00+00:00,33786.2161,take_profit,18,9.566265922869192,True,2021
5680,2021-08-05 12:00:00+00:00,38773.260006,37471.051439999996,37508.56,hidden,46.75185140691737,3.3585222542507127,5689,2021-08-07 00:00:00+00:00,43665.644884,take_profit,9,12.617935343179626,True,2021
5887,2021-09-09 00:00:00+00:00,46028.710666,44367.60797999999,44412.02,hidden,34.002566570661756,3.6088403563018145,5898,2021-09-10 20:00:00+00:00,44340.98741521199,stop_loss,11,-3.6666750520880447,False,2021
6306,2021-11-17 20:00:00+00:00,60381.076922,58314.627,58373.0,hidden,39.0244312745065,3.422346912873764,6310,2021-11-18 12:00:00+00:00,58065.179976,stop_loss,4,-3.8354681036770275,False,2021
6563,2021-12-30 16:00:00+00:00,47586.88501,45854.1,45900.0,hidden,42.36863657114355,3.641307914220208,6569,2021-12-31 16:00:00+00:00,45700.843032,stop_loss,6,-3.9633650691859,False,2021
7186,2022-04-13 12:00:00+00:00,41182.874908,39215.375369999994,39254.63,hidden,49.60923179966145,4.777470107162932,7214,2022-04-18 04:00:00+00:00,38896.498089999994,stop_loss,28,-5.551765929667681,False,2022
7259,2022-04-25 16:00:00+00:00,40250.105582,38890.69038,38929.62,hidden,54.80282764667185,3.3774202137942524,7264,2022-04-26 12:00:00+00:00,38540.801636000004,stop_loss,5,-4.24670673848965,False,2022
7963,2022-08-21 00:00:00+00:00,21221.445232,20762.78643,20783.57,hidden,30.056154066703215,2.161298615555092,7996,2022-08-26 12:00:00+00:00,20750.328758142,stop_loss,33,-2.2200018363857557,False,2022
8135,2022-09-18 16:00:00+00:00,19737.705521999997,19300.68999,19320.01,hidden,39.34828850165362,2.214115169125876,8137,2022-09-19 00:00:00+00:00,18765.663841999998,stop_loss,2,-4.924795736346069,False,2022
9554,2023-05-13 04:00:00+00:00,26787.943128,25785.64854,25811.46,regular,39.749670270186556,3.7415884572054208,9647,2023-05-28 16:00:00+00:00,27509.474406,take_profit,93,2.6934926453753154,True,2023
10228,2023-09-02 12:00:00+00:00,25910.296855999997,25308.41625,25333.75,regular,39.80885465681747,2.322939831006307,10282,2023-09-11 12:00:00+00:00,25100.900418,stop_loss,54,-3.123840851759928,False,2023
10834,2023-12-12 12:00:00+00:00,41372.8088,40181.778,40222.0,hidden,36.60931610488535,2.878776748655268,10956,2024-01-01 20:00:00+00:00,44153.04227,take_profit,122,6.719953396057556,True,2024
11639,2024-04-24 16:00:00+00:00,64014.445636,61632.325979999994,61694.02,regular,36.27201116975319,3.7212220340784503,11673,2024-04-30 08:00:00+00:00,61167.697347999994,stop_loss,34,-4.447040444882129,False,2024
12611,2024-10-03 16:00:00+00:00,61072.6216,59768.28189,59828.11,hidden,39.88271209141265,2.1357192074427016,12653,2024-10-10 16:00:00+00:00,59691.443631999995,stop_loss,42,-2.26153378030198,False,2024
13088,2024-12-22 04:00:00+00:00,96267.966144,92140.30746,92232.54,hidden,38.818094168887036,4.287676211862371,13138,2024-12-30 12:00:00+00:00,92074.931874,stop_loss,50,-4.355586222449075,False,2024
13187,2025-01-07 16:00:00+00:00,96509.85118799999,91438.91954999999,91530.45,regular,37.86449721335309,5.254315052379351,13200,2025-01-09 20:00:00+00:00,91384.05619826999,stop_loss,13,-5.3111624633479275,False,2025
13337,2025-02-01 16:00:00+00:00,101730.60176,98165.22651000001,98263.49,hidden,39.620045374239005,3.5047224613998953,13342,2025-02-02 12:00:00+00:00,98106.327374094,stop_loss,5,-3.5626196279230573,False,2025
